0,1
别 杞人忧天 了 ， 你 要 学会 看开一点 。,"don &apos;t be such a worry wart , you have to learn how to relax ."
宾夕法尼亚大学 研究 的 目的 不是 为了 指责 新闻媒体 ， 而是 评估 平常 媒体 对 癌症 治疗 报道 的 基础 。,the point of the University of Pennsylvania study was not to chastise the news media but rather assess what elements of cancer treatment are being routinely reported .
别 被 这个 狡猾 的 忍者 所 愚弄 ！ 这 其实 是 一个 优盘 。,do not be fooled by this slick ninja ! it is actually a USB flash drive .
别 拐弯抹角 的 了 ， 直接 告诉 我 你 认为 我 的 工作 有 什么 不 对 的 。,don &apos;t beat around the bush . tell me exactly what you think is wrong with my work .
宾夕法尼亚州 立 大学 的 艾伦 ? 沃克说 ： “ 这些 骨骼 都 属于 很 古怪 奇特 的 生物 。,"Alan Walker , of Pennsylvania Sate University , told Science : &apos; these things were very odd creatures ."
宾馆 的 厕所 通常 都 比较 空 ， 可以 找到 偏门 溜进去 。,hotel loos are always empty so if there &apos;s one next door nip in .
别 被 名字 给 弄混 了 ， 它 出售 的 是 时髦 的 围裙 、 手袋 、 钱包 以及 非常 传统 式样 的 垫 桌布 。,"don &apos;t be fooled by the name , for they sell funky aprons , bags , purses and table mats with gorgeous traditional patterns ."
别 担心 。 把 那个 冰桶 给 我 ， 然后 把 这个 拿到 隔壁 去 。,Betty : do not worry . pass me that ice bucket and take this next door .
宾馆 拥有 雅致 舒适 的 标准 客房 和 豪华 套房 ， 客房 内 设有 卫星 闭路电视 系统 和 中央空调 。,"the hotel has elegant and cozy standard rooms and luxury suites , all equipped with closed @-@ circuit satellite TV and central air conditioning ."
别 那么 嫉妒 好不好 ， 在 我 面前 他 可 从没 说 过 你 的 坏话 。,a : don &apos;t be so jealous . he never speaks ill of you before me .
别 指望 所有 的 人 都 能 懂 你 ， 因为 萝卜 白菜 ， 各有所爱 。,"don &apos;t expect all people can understand you , because Chinese cabbage , radish every man has his hobbyhorse ."
别 让 电视广告 引诱 你 购买 自己 实际 不 需要 的 东西 .,don &apos;t let television commercials brainwash you into buying anything you actually don &apos;t need .
“ 别想 啦 ， 老家伙 ， ” 他 说出 声来 。 “ 顺着 这 航线 行驶 ， 事到临头 再 对付 吧 。 ”,"&quot; don &apos;t think , old man , &quot; he said aloud . &quot; sail on this course and take it when it comes . &quot;"
表演 ： 悉尼歌剧院 首席 男高音 丁毅 先生 悉尼歌剧院 首席 女高音,"performers : Mr. Ding Yi , Chief tenor of Sydney Opera House Chief soprano of Sydney Opera House"
别慌 ， 看看 爱情 专家 怎么 说 ： 鲜花 ： 最 传统 也 是 最 经典 的 情人节 礼物 。,"Biehuang , love to see how the experts say : flowers : the most traditional and most classic Valentine &apos;s Day gift ."
莂 之剖分 方法 有 二 ， 剖成 二联 或 三联 则 取决于 当事者 的 多少 。,"Bie of the Split method has two , Generative two together , or triple depending on the number of the persons concerned ."
别哭 了 。 我会 慢慢 收获 你 的 悲伤 。 我 有 时间 去 发现 让 你 悲泣 的 原由 。,pinhead : save your tears . I &apos;ll reap your sorrow slowly . I have centuries to discover the things that make you whimper .
别忘了 香港 现在 属于 中国 ， 那些 想 在 香港 拥有 西方 民主 不要 再 做梦 了 。,do not forget that Hongkong belongs to China now and those who want to have western democracy in HK should stop dreaming about it anymore .
别管 丁 太太 那些 残酷 的 警告 ， 宽宏大量 些 ， 想法 去 看看 他 吧 。,"don &apos;t mind Mrs Dean &apos;s cruel cautions ; but be generous , and contrive to see him ."
别介意 ， 但 这 似乎 ， 这样 做 好像 太蠢 了 。,"no offense , but that seems like . . . sort of a dumb thing to do ."
别少估 时间 ， 如果 可能 ， 多 估些 ， 这样 发生 紧急情况 也 不至于 耽误 工作 。,"don &apos;t underestimate . overestimate , if possible , so that emergencies that arise don &apos;t hang you up ."
别的 一种 广 吃香 的 常青 植物 是 寄生 树 ， 树上 生有 白 的 颜色 的 小 浆果 ， 树叶 摸上去 象 动物 熟皮 。,another popular evergreen plant is mistletoe . it has small white berries and leaves that feel like leather .
别 让 花花世界 迷惑 了 双眼 ， 更别 让 夺走 你 内心 宁静 的 那种 美妙 感受 。,do not let this world distract you and rob you off that wonderful feeling of inner calm .
别提 了 。 我 是 咱们 班 女生 中 唯一 还 没 结婚 的 。 我 是 白领 没错 ， 过得 却是 黑 生活 。,"never mention it . I &apos;m the only not @-@ married girl in our class . yeah , I &apos;m the white @-@ collar worker who suffers a bitter dark life ."
别老 惦念着 孩子 们 ， 他们 已经 长大 ， 自己 会 照顾 自己 了 。,don &apos;t worry yourself about the children . they &apos;re old enough to take good care of themselves .
别 这样 和 我 说话 。 走开 。 如果 你 想 正常 交流 ， 没 问题 。 但 不要 这样 和 我 说话 。,"don &apos;t talk to me like that . go away . if you want to behave civilly , fine . don &apos;t talk to me like that ."
别 在 我 面前 装 慈悲 ， 你 自己 知道 你 对 他们 遭遇 不幸 有 多 高兴 。,don &apos;t shed crocodile tears to me ; you know you are really glad that they &apos;re met with misfortune .
别 做点 错事 就 把 什么 脏水 都 往 自己 身上 泼 ， 姐 还要 留著冲 厕所 呢 。,"don &apos;t do something wrong is what water to his own body splash , sister also left a toilet flushing ."
别人 试图 说服 你 按 他们 的 方式 做事 ， 这 可能 会 激怒 你 。,people who try to persuade you to do things their way will annoy you . don &apos;t get upset .
宾馆 接待员 ： 啊 … … 我 查查 … … 那 是 周四 使用 会议 设施 的 定金 。,hotel RECEPTIONIST : ah . . . let me check . . . that &apos; s a deposit against the use of the conference facilities on Thursday .
表一 ： 对 人体 肠道 的 通透性 ， 作为 替代 标记 使用 极地 糖尿 execretionGIPET 我 的 时间 。,table I : timing of effect of GIPET I on human intestinal permeability using urinary excretion of polar sugars as a surrogate marker .
“ 表演 在 本质 上 给 了 他们 一个 正当 的 理由 去 学习 如何 表达 自己 。 ” 阿伦 森说 。,"&quot; acting gives them an excuse , in essence , to learn how to express themselves , &quot; Aronson said ."
别的 神祗 气恼 万分 ， 但 不敢 拯救 赫拉 ， 尽管 她 哭喊 得 十分 凄惨 。,"the otheR deities were vexed beyond words , but dared attempt no rescue for all heR piteous cries ."
兵丁 用 荆棘 编作 冠冕 ， 戴 在 他 头上 ， 给 他 穿 上 紫袍 ，,"and the soldiers wove a crown of thorns and put it on His head , and they threw a purple garment around Him ."
别跟我 玩儿 这套 ， 我 知道 你 一直 在 骗 我 。 直说 吧 ， 别藏 着 了 。,"don &apos;t play hardball with me , I know you &apos;ve been cheating on me . so just tell me ! stop hiding it !"
髌骨 股 骨关节 成形术 失败 后行 TKA 可能 会 一种 打捞 作业 ， 所以 ， 仔细 选择 病人 很 重要 。,"conversion to TKA is likely to be the salvage procedure after failed arthroplasty ; thus , careful patient selection is important ."
表演者 热情 地向 中国 贵宾 赠送 斯特森 骑士 帽 。,a jockey enthusiastically presented a Stetson horseman hat to the distinguished Chinese guest .
别 担心 ， 我们 帮 你 对 不同 的 设计 领域 进行 了 调查 ， 找出 哪里 的 工作 幸福 指数 最高 。,"to help you designers out there , we &apos;ve researched different design sectors to see which one has the most fulfilling , unicorn @-@ friendly jobs ."
别 担心 化妆 了 ， 这样 可以 让 你 的 皮肤 透透气 — — 但是 皮肤 上 涂抹 上 滋润霜 。,"don &apos;t bother with make @-@ up so that you skin can breathe , but make sure you moisturise first ."
兵营 是 双枪 老大爷 的 前提 建筑 之一 。,it serves as a prerequisite for Reapers to be built at the Barracks .
宾州 警察局 称 ， 有个 闷 墩 用 小口径 手枪 打 耗子 ， 耗子 没 打 到 ， 子弹 却 伤 了 女朋友 。,"a man missed a mouse he was trying to shoot with a small @-@ caliber handgun and wounded his girlfriend instead , Pa . State police said ."
别 哭泣 ， 别 叹息 ， 别 呻吟 ； 悲伤 唤 不 回 流逝 的 时光 。 （ 爱尔兰 剧作家 弗莱 沏 。 J 。 ）,"weep no lot , no sigh , nor groan . sorrow cwhichles no time which &apos;s g first . ( John Fletcher , English dramatist )"
别怕 ， 接下来 的 几分钟 ， 我会 帮 你 解除 魔咒 ， 助 你 摆脱 这种 不体面 的 境地 。,do not fear : in a few minutes &apos; reading I can break the spell and liberate you from this unseemly condition .
宾夕法尼亚州 ， 费城 自然科学 学院 ， 一只 大 壁虎 把 自己 悬挂 在 培养箱 顶 面上 。,"a Tokay gecko hangs upside down in its terrarium at the Academy of Natural Sciences in Philadelphia , Pennsylvania ."
别克 还 努力实现 车内 的 静音 效果 ， 这是 别克 数年 来 引以为荣 的 一大 优点 。,"effort has been applied to cabin quietness , a virtue of Buicks for decades ."
别看 它 看上去 庄重 仁慈 端庄 ， 其实 却是 一次 反 天主教 宣传 的 产物 。,"erected in 1841 , it looks decorous and benign , but is in fact a work of anti @-@ Catholic propaganda ."
别人 写信 时 也 不要 近 看 。,also look not nigh when another is writing a letter . -- G .
别站 在 风口 上 ， 小心 着凉 。,do n &apos; t stand in the draught . you may catch cold .
滨湖 沙地 植物群落 进展 演替 与 种类 调查 研究,plant Community Proceeding Succession and Species Investigation Research in the Lakeside Sandy Area
别 那样 ， 这是 抽签 抽到 的 ， 可不是 我 主动 争取 的 。,"don &apos;t be . they drew my name out of a hat , but not do it of my own accord ."
“ 别 ， ” 桃金娘 的 声音 从 另 一间 小 卧室 中 低吟 着 。 “ 不要 这样 … … 告诉 我出 了 什么 事 … … 我 可以 帮助 你 … … ”,&quot; don &apos;t . &quot; crooned Moaning Myrtle &apos;s voice from one of the cubicles . &quot; don &apos;t . . . tell me what &apos;s wrong . . . I can help you . . . &quot;
别克 在 湿漉漉 的 碎石路 上 ， 怎么 说 呢 ， 简直 是 在 飞 ， 像 个 喝醉 了 的 火箭 。,"the Buick took it somehow , flying over the wet gravel like a drunken rocket ."
别怪 他 ， 他 是 真的 不 知道 如何 找到 理智 和 情感 的 平衡 支点 。,"saw him , he was not really know how to find a sensible balance and emotional fulcrum ."
表演者 包括 歌手 马尼洛 和 富兰克林 ； 歌手 们 星期五 将 向 观众 献上 一场 彩排 。,"the performers , who include singers Barry Manilow and Aretha Franklin , are treating spectators Friday to a full concert dress rehearsal ."
别的 公司 很难 与 他们 竞争 是 无可争辩 的 事实 。,it was an indisputable fact that the other builders found it very difficult to compete with them .
滨海区 的 许多 地方 都 对 游客 开放 ， 包括 沿着 海湾 的 一条 长长的 人行道 。,"much of the waterfront is open to visitors , including a long walkway along the bay ."
别 在 太晚 的 时候 吃 东西 或者 剧烈运动 ， 避免 或者 限制 咖啡因 、 酒精 、 尼古丁 的 摄入 。,"don &apos;t exercise or eat at the end of the day , and avoid or limit caffeine , alcohol and nicotine ."
别 错过机会 - - 我 向 你 保证 我 的 投资 方法 可以 使 你 的 收入 在 一年 内 翻番 。,don &apos;t miss the boat -- I guarantee you that my investment approach will double your income within a year .
别问 我 ， 为了 爱情 承受 了 几度 煎熬 ，,"suffered for love such woe Have I , that ask not ; Drunk parting &apos;s poison so Have I , that ask not ."
《 别 让 我 走 》 可能 在 技巧 上 有些 科幻 ， 因为 故事 场景 设定 在 未来 ， 但 实际上 整个 故事 并 没有 科幻 色彩 。,"never Let Me Go might technically be sci @-@ fi , as it seems to be set in the future , but really there &apos;s not much sci @-@ fi about it ."
“ 别提 了 ！ 我 犁 了 十天 的 地 ， ” 刁 颤栗 着 说 。,"&quot; don &apos;t ask ! I &apos;ve spent the last ten days plowing fields , &quot; Tiao answered with a shudder ."
别 在 我 的 架子 上 乱堆 你 采集 的 石头 和 昆虫 。,do not lumber my shelf up with your collection of stones and insects .
别 气馁 ， 毕竟 ， 你 在 这个 领域 是 个 新手 。,"don &apos;t get frustrated by the failure . after all , you are a newcomer in this field ."
‘ 别 说大话 使 小钱 啦 ， 美女 。 我 提个 问题 ， 好不好 ？ ’,"&apos;don &apos;t boast much but spend less , belle . now let me ask you a question , will you ? &apos;"
别人 认为 是 拉圾 的 ， 其中 往往 却 有 黄金 ， 而 历史 将会 因 没有 它 而 为 之 减色 。,"other men may see only trash , but there is often gold , which history will be poorer for not having ."
别 幼稚 任性 了 。 你 想 改变 这个 世界 ？ 决不 可能 的 。 只能 是 这 世界 改变 你 。,"don &apos;t be childish and capricious . you want to change the world ? no way , it is just the world that will change you ."
别的 俱乐部 怎么样 呢 ？ 你 最近 在 推特上 质疑 曼城 的 赞助 协议 …,what about other clubs ? you recently raised doubts about Manchester City &apos;s sponsorship deal on your twitter site .
别 了 ， 母校 ， 我们 航行 再 远 ， 总 与 您 遥遥相望 ！,"has left , the alma mater , we navigate far , always distantly face one another again with you !"
别 在 “ 国家 ” 概念 仍 深植于 美国 政治 灵魂 （ 从 奥巴马 本人 开始 ） 的 时候 这样 想 。,"or not , when the concept of the &quot; nation &quot; remains so deeply baked into the American political soul ."
“ 别 害怕 ， ” 莫吉 安娜 说 ， “ 你 看到 的 这个 男人 既 不能 对 你 也 不能 对 任何人 造成 任何 伤害 了 。,"&quot; do not be afraid , &quot; said Morgiana &quot; the man you see there can neither do you nor anybody else any harm ."
别人 以为 这 苦役 犯带 着 的 只是 一个 苏 ， 一点 也 不 对 ， 他 带 着 的 是 自由 。,"the unfortunate convict is supposed to possess merely a sou ; not at all , he possesses liberty ."
彬彬有礼 的 员工 热烈欢迎 您 ， 为 你 提供 专业 的 服务 ， 让 您 享有 宾至如归 的 感觉 。,the Courteous Staff Will Welcome You With A Professional Service And Help You Feel At Home In This Friendly Hotel .
别 让 我 难堪 了 ， 行不行 ， 特德 。 把 挡风玻璃 抹 一下 。,"spare my blushes , will you , Ted , and give the windscreen a wipe ."
别致 的 脚背 扣 是 完全 可调 的 ， 这样 可以 达到 个人 ， 安全 ， 定制 适合 。,"chic instep buckle is fully adjustable so you can achieve a personal , secure , and custom fit ."
别 假装 你 什么 都 不 知道 。 这 古钢琴 坏 了 ， 就是 你 搞坏 的 ！,don &apos;t try to pretend that you know nothing ! the clavichord has been broken and it was your fault .
表演 我 软木塞 哪一 呼吸 和 我 将 表演 你 一瓶 醋 。,show me a cork that breathes and I &apos;ll show you a bottle of vinegar .
“ 别逗 了 ， ” 他 不 果断 说 。 “ 你 知道 这 很 危险 。 ”,"&quot; don &apos;t tease , &quot; he said unsteadily . &quot; you know how dangerous it is . &quot;"
别哭 了 孩子 ， 别哭 孩子 ， 你 的 灵魂 还 没 远走 ， 让 我 为 你 唱 一首歌 吧 ！ 你 想 听 吗 。,"O , My Babe , Please dont cry , O , My , it is just flying away , you hear ? let me sing you , once again , a lullaby"
别 找 借口 。 你 最好 把 你 的 卡 放在 桌上 。,don &apos;t give me the runaround . you &apos;d better put your cards on the table .
濒临绝种 动物 ， 被 视为 保护 对象 ， 美丽 的 孟加拉虎 ， 通常 是 猎杀者 的 目标 。,"strictly protected as an endangered species , the magnificent Bengal tiger is nonetheless a common target for poachers ."
别以为 这 不过 是 一款 胸前 印制 了 动物 图像 的 普通 卡通 套头衫 。,do not think that this is nothing but a chest animal images printed pullover ordinary cartoon .
别 为了 满足 于 他们 的 要求 而 以 牺牲 自己 为 代价 。,do not give in to their demands at the cost of your own .
别提 了 。 昨天 我家 旁边 的 工厂 不断 发出 噪音 一整天 ， 如果 没有 耳塞 我 可能 就 聋 了 。,"Oh never metion it , a factory beside my house made noise all around yesterday , i &apos;d gotta be deaf without an earplug ."
表中 的 大多数 术语 在 本书 最后 所附 的 “ 名词 汇编 ” 中均 有 说明 。,most of the terms in this list are explained in the glossary at the end of this book .
《 别尔金 小说集 》 一直 被 分体 研究 ， 视为 多部 小说 的 沙状 集合 。,an Anthology of Berkin &apos;s Novels has been regarded as the &quot; sand &quot; accumulation of multi @-@ novels by atomistic study .
别 胡扯 啦 ！ 你 总 不会 认为 我会 相信 你 的 瞎话 吧 ？,"b : get out of here . you don &apos;t expect me to belie , ve that , do you ?"
“ 《 濒危 物种 法 》 获得 批准 时 ， 就 不应 指望 它 是 一种 可以 解决 全球 气候变化 问题 的 工具 。 ” 他 说 。,"&quot; when the ESA was passed , it was not contemplated it would be a tool to address the issue of climate change , &quot; he said ."
别 担心 董事长 对 接受 出价 如何 反应 ， 他 正 斗志 旺盛 呢 。,don &apos;t worry about how the Chairman might react to the takeover bid ; there &apos;s plenty of fight left in him .
别傻了 ！ 我 永远 不会 像 爱 我 的 妹妹 们 这样 爱 别人 。,don &apos;t be such a beetle ! I could never love anyone as I love my sisters .
别 让 时间 冲淡 友情 的 酒 ， 别 让 距离 拉开 梦中 相握 的 手 。,"don &apos;t let time dilute the wine of our friendship , don &apos;t let distance take apart our hands clasped in dreams ."
别 发火 。 我会 打电话 给 他们 ， 把 事情 搞定 。,b : don &apos;t get your panties in a wad. i &apos;ll call them and fix things .
别太 得意 ， 老头子 。 要 吹牛 就 尽量 吹个 够 ， 我 可 不想 碰 你 那 满 是 皱纹 的 皮 。,"don &apos;t get cocky on me , old man . you can get as big as you want . I don &apos;t want to deal with your wrinkled hide !"
瘪 印 在 制卡 和 会员卡 制作 金属 油墨 时不入 格 得当 。 柔印 在 上光 方面 也 有 其 独到之处 。,gravure printing in business card printing and membership card when making metallic ink is well @-@ suited for flexo printing in glazing. there .
宾馆 备有 会议室 ， 美容中心 ， 足浴 ， 棋牌室 等 休闲 娱乐场所 。,"the hotel is equipped with such entertainment facilities as meeting rooms , beauty salon , Footbath , and Chess &amp; amp ; card rooms ."
濒临灭绝 的 金头狮 狨 是 由 它 极其 引人注目 的 橙色 鬃毛 而 命名 的 。,the critically endangered golden lion tamarin is named for its striking orange mane .
